type,year,attacks,nkilled,nwounded
1,1970,643,136,212
1,1971,463,172,82
1,1972,551,540,409
1,1973,465,368,495
1,1974,577,537,865
1,1975,727,615,617
1,1976,900,647,708
1,1977,1292,441,518
1,1978,1455,1382,1563
1,1979,2533,1813,2233
1,1980,2560,4159,3474
1,1981,2470,4522,3152
1,1982,2408,4883,3210
1,1983,2670,7945,3872
1,1984,3198,8522,4881
1,1985,2680,5939,4679
1,1986,2679,4571,5358
1,1987,2988,6040,5544
1,1988,3470,6238,6565
1,1989,4147,7520,5264
1,1990,3648,6470,5635
1,1991,4404,7693,7106
1,1992,4831,8509,9490
1,1994,2577,6021,6235
1,1995,2920,5690,13783
1,1996,2909,6025,10151
1,1997,2998,9859,8706
1,1998,891,4118,8155
1,1999,1340,3251,5241
1,2000,1782,4315,5832
1,2001,1890,7392,27985
1,2002,1309,4674,7130
1,2003,1263,3294,7301
1,2004,1137,5659,12003
1,2005,1984,6251,12547
1,2006,2716,9168,15415
1,2007,3197,12679,22461
1,2008,4755,9072,18947
1,2009,4707,9253,19143
1,2010,4819,7809,15942
1,2011,5051,8216,14646
1,2012,8476,15459,25357
1,2013,11930,22161,37608
1,2014,16797,44276,40916
1,2015,14870,38712,44007
1,2016,13570,34836,40005
1,2017,10935,26444,25055
1,2018,9560,22937,20225
4,1973,1,0,1
4,1979,3,53,1
4,1988,11,128,106
4,1989,10,10,84
4,1990,2,12,122
4,1991,25,64,103
4,1992,36,49,185
4,1994,7,22,30
4,1995,5,5,10
4,1996,4,31,30
4,1997,1,4,37
4,1998,1,8,30
4,1999,9,39,41
4,2000,13,38,11
4,2001,14,174,59
4,2002,37,69,297
4,2003,99,163,186
4,2004,87,275,263
4,2005,155,367,411
4,2006,283,736,922
4,2007,340,1194,1155
4,2008,412,1090,1331
4,2009,503,1065,1604
4,2010,541,1152,1699
4,2011,409,1510,1934
4,2012,1453,3503,4655
4,2013,1435,3695,4321
4,2014,1799,5367,5111
4,2015,1918,6196,6985
4,2016,1616,6141,6485
4,2017,1409,6090,6018
4,2018,1772,9807,7844
5,1981,1,0,0
5,1990,1,0,0
5,1991,1,0,0
5,1992,3,1,0
5,1994,1,0,0
5,1996,6,7,37
5,1997,41,26,77
5,1998,7,0,5
5,1999,3,6,5
5,2000,2,0,0
5,2001,1,0,0
5,2003,1,0,0
5,2009,1,0,0
5,2014,2,1,2
5,2015,4,0,0
5,2016,2,0,0
5,2017,1,0,0
6,1972,1,0,0
6,1976,1,0,0
6,1978,1,0,1
6,1979,1,0,0
6,1990,1,3,1
6,1991,29,42,73
6,1992,208,231,272
6,1994,149,345,118
6,1995,172,381,1010
6,1996,128,522,1118
6,1997,305,3722,1801
6,1998,143,739,925
6,1999,98,404,257
6,2000,133,516,263
6,2001,107,600,247
6,2002,128,588,313
6,2003,72,260,105
6,2004,67,166,187
6,2005,101,225,224
6,2006,149,183,258
6,2007,121,226,681
6,2008,104,245,327
6,2009,107,203,210
6,2010,98,105,218
6,2011,15,25,34
6,2012,41,30,105
6,2013,22,101,48
6,2014,13,37,30
6,2015,15,20,19
6,2016,9,9,2
6,2017,14,12,19
6,2018,7,19,11
8,1977,1,0,0
8,1978,1,0,24
8,1979,3,19,30
8,1981,1,3,0
8,1982,2,2,0
8,1983,7,282,349
8,1984,9,172,70
8,1985,3,5,0
8,1986,5,119,23
8,1987,3,5,10
8,1988,10,56,114
8,1989,11,72,10
8,1990,199,147,217
8,1991,14,69,75
8,1992,48,97,56
8,1994,6,59,10
8,1995,8,51,26
8,1996,4,18,6
8,1997,6,28,31
8,1998,17,229,46
8,1999,29,287,281
8,2000,21,177,43
8,2001,39,587,314
8,2002,5,38,17
8,2009,1,2,0
8,2010,2,4,7
8,2016,2,0,0
8,2017,6,7,411
10,1992,1,0,0
11,1970,20,4,2
11,1971,7,5,0
11,1972,20,5,0
11,1973,58,14,4
11,1974,71,21,12
11,1975,38,123,16
11,1976,54,122,90
11,1977,17,7,12
11,1978,25,13,11
11,1979,16,11,12
11,1980,6,0,1
11,1981,2,0,0
11,1982,9,1,0
11,1983,18,1,3
11,1984,46,1,4
11,1985,42,2,10
11,1986,28,2,7
11,1987,80,3,11
11,1988,33,1,20
11,1989,32,26,17
11,1990,31,1,1
11,1991,27,1,7
11,1992,38,33,224
11,1994,11,86,266
11,1995,16,0,1
11,1996,19,1,12
11,1997,11,3,2
11,1999,1,0,0
11,2001,2,0,1
11,2003,1,0,0
11,2005,3,0,0
11,2009,1,0,0
11,2010,5,0,0
11,2011,1,0,0
11,2012,2,0,0
11,2013,2,0,2
11,2014,1,0,0
11,2015,1,0,0
11,2016,2,0,2
11,2017,2,0,0
11,2018,5,0,4
12,1991,1,0,0
12,1992,2,2,1
12,1994,4,15,46
12,1995,1,2,20
12,1996,1,2,0
12,1998,2,0,1
12,1999,2,8,0
12,2000,2,0,0
12,2001,2,1,0
12,2007,1,0,0
12,2009,1,1,0
12,2013,1,0,1
12,2015,2,0,1
12,2016,2,6,1
12,2018,1,0,0
14,1970,1,0,0
14,1971,1,0,0
14,1972,3,1,0
14,1974,1,0,0
14,1978,2,2,9
14,1979,2,0,9
14,1980,6,2,3
14,1981,1,1,0
14,1982,2,0,3
14,1986,2,1,22
14,1988,3,0,0
14,1989,2,0,0
14,1991,4,0,0
14,1992,4,1,4
14,1994,7,2,3
14,1995,5,0,0
14,1996,5,2,1
14,1997,4,0,23
14,1998,6,0,2
14,2000,1,0,0
14,2001,2,0,0
14,2006,2,0,0
14,2008,3,0,0
14,2009,1,0,0
14,2010,1,0,0
14,2013,1,0,0
14,2014,8,4,7
14,2015,14,2,0
14,2016,9,0,1
14,2017,4,4,21
14,2018,3,2,3
15,1972,7,4,5
15,1973,1,0,0
15,1974,1,0,0
15,1975,2,4,11
15,1976,4,0,0
15,1977,5,1,1
15,1978,1,0,0
15,1979,5,0,6
15,1980,2,0,8
15,1981,3,3,20
15,1982,11,0,0
15,1984,4,2,1
15,1985,4,4,50
15,1986,4,0,0
15,1987,4,0,1
15,1988,1,0,1
15,1989,2,3,0
15,1990,1,0,0
15,1991,3,0,0
15,1992,8,0,1
15,1994,5,0,3
15,1995,12,6,6
15,1996,4,0,1
15,1997,1,0,0
15,1998,1,0,0
15,2006,1,0,0
15,2007,1,0,0
15,2008,7,0,0
15,2009,3,1,9
15,2011,1,0,0
15,2013,1,0,2
15,2016,3,0,0
15,2017,1,2,0
15,2018,1,1,1
16,1991,3,26,4
16,1992,10,122,30
16,1994,8,22,89
16,1995,2,0,0
16,1996,2,2,0
16,1997,1,1,0
16,2000,1,0,3
16,2001,4,1,6
16,2002,1,0,1
16,2007,1,0,0
16,2008,2,5,13
16,2009,2,1,2
16,2014,3,0,1
16,2016,2,1,1
16,2017,2,5,2
16,2018,1,0,1
17,1976,1,0,0
17,1981,1,0,0
17,1997,2,1,0
17,2013,1,0,0
18,1979,1,0,0
18,1980,1,0,0
18,1991,1,1,0
18,1994,1,0,3
18,1995,5,1,2
18,1996,16,8,15
18,1997,11,5,2
18,2003,1,0,0
18,2006,1,0,0
18,2008,1,1,2
18,2010,2,0,0
18,2011,1,0,0
18,2012,25,4,37
18,2013,49,3,38
18,2014,41,9,39
18,2015,18,5,22
18,2016,3,1,2
18,2017,21,6,26
18,2018,1,0,1
19,1977,1,0,1
19,1979,1,0,0
19,1980,1,6,80
19,1981,1,6,2
19,1982,1,0,4
19,1984,1,1,0
19,1985,1,0,13
19,1986,10,54,263
19,1987,6,26,2
19,1988,29,57,135
19,1989,28,101,162
19,1990,17,58,29
19,1991,36,41,428
19,1992,68,74,466
19,1994,68,30,657
19,1995,71,34,683
19,1996,136,82,1181
19,1997,15,8,349
19,1998,2,0,1
19,1999,11,30,185
19,2000,23,11,34
19,2001,15,57,258
19,2002,5,21,440
19,2003,4,3,13
19,2004,11,43,384
19,2005,22,42,304
19,2006,23,19,57
19,2007,9,1,10
19,2008,19,9,48
19,2009,27,18,46
19,2010,22,15,28
19,2011,13,9,6
19,2012,18,8,32
19,2013,137,16,117
19,2014,130,38,114
19,2015,468,86,720
19,2016,88,76,88
19,2017,41,25,73
19,2018,32,12,41
20,1976,2,73,0
20,1992,1,3,3
21,1970,1,0,0
21,1972,4,0,1
21,1973,1,0,0
21,1974,5,0,1
21,1976,1,0,0
21,1977,1,0,0
21,1978,8,1,0
21,1979,8,1,42
21,1980,8,2,20
21,1981,6,6,97
21,1982,1,0,4
21,1983,8,2,7
21,1984,10,0,1
21,1985,21,10,20
21,1986,3,0,2
21,1987,1,1,0
21,1988,5,1,0
21,1989,7,4,3
21,1990,2,2,0
21,1991,6,1,0
21,1992,9,1,0
21,1994,1,0,5
21,1995,1,0,0
21,1997,2,4,0
21,1998,3,0,0
21,1999,2,0,0
21,2002,3,0,0
21,2003,8,0,20
21,2007,1,0,0
21,2009,1,0,0
21,2012,1,1,1
21,2014,2,4,3
21,2016,6,36,276
21,2017,3,2,2
21,2018,3,4,7
22,1980,1,0,0
22,1991,2,0,0
22,1992,2,1,0
22,2000,1,0,0
22,2013,1,0,0
23,1992,1,0,1
23,1994,3,0,3
23,1995,1,0,0
23,1996,2,0,0
25,2006,1,4,0
25,2008,2,5,2
25,2011,1,0,2
25,2014,1,0,0
26,1971,1,0,0
26,1974,1,0,0
26,1976,1,0,0
26,1977,1,0,0
26,1978,3,0,0
26,1979,14,0,7
26,1980,35,11,51
26,1981,5,1,1
26,1982,27,0,1
26,1983,27,0,3
26,1984,14,1,3
26,1985,13,0,0
26,1986,4,1,0
26,1987,13,1,25
26,1988,11,2,0
26,1989,40,2,0
26,1990,10,1,3
26,1991,28,7,1
26,1992,32,4,4
26,1994,6,0,3
26,1995,2,0,0
26,1996,1,0,0
26,1997,4,4,7
26,2003,1,0,0
26,2005,1,0,0
26,2007,3,0,0
26,2009,3,0,7
26,2012,1,0,2
26,2018,2,12,60
28,1992,22,55,22
28,1994,9,3,5
28,1995,6,2,3
28,1996,33,2,12
28,1997,41,5,68
28,1998,9,2,3
28,1999,5,1,4
28,2000,6,1,3
28,2001,2,0,0
28,2002,3,0,0
28,2003,1,0,0
28,2005,1,0,1
28,2006,1,0,0
28,2007,2,1,2
28,2008,4,2,10
28,2009,1,0,0
28,2010,1,1,6
28,2011,1,0,1
28,2013,1,0,0
28,2014,3,0,4
28,2015,5,4,5
28,2018,2,0,1
29,1974,1,1,0
29,1985,1,0,1
29,1987,1,3,4
29,1988,3,1,5
29,1989,2,0,0
29,1990,1,6,0
30,1970,6,2,1
30,1971,3,0,0
30,1972,1,0,1
30,1973,2,0,15
30,1976,5,0,1
30,1977,1,0,1
30,1978,5,1,1
30,1979,6,4,0
30,1980,19,19,3
30,1981,11,2,3
30,1982,4,27,0
30,1983,8,0,12
30,1984,5,0,1
30,1985,1,0,0
30,1986,3,14,0
30,1987,1,0,11
30,1988,2,0,0
30,1989,5,1,0
30,1990,7,3,4
30,1991,24,12,17
30,1992,24,28,10
30,1994,18,15,4
30,1995,21,13,38
30,1996,17,22,9
30,1997,39,28,15
30,1998,2,0,0
30,1999,1,1,0
30,2000,1,0,0
30,2001,3,1,0
30,2002,1,0,0
30,2003,1,0,0
30,2006,3,1,11
30,2012,1,1,0
30,2013,3,2,0
30,2014,3,2,0
30,2015,5,3,0
30,2016,2,1,0
30,2017,2,0,0
30,2018,11,10,8
31,1972,5,0,0
31,1992,1,0,1
32,1982,2,2,0
32,1984,1,0,0
32,1990,5,0,0
32,1991,3,0,0
32,1992,2,0,0
32,1994,2,1,1
32,1995,2,3,0
32,1996,12,9,3
32,1997,3,0,0
32,1998,2,0,1
32,1999,1,0,0
32,2000,2,4,0
32,2001,1,0,0
32,2002,1,1,0
32,2008,2,0,0
32,2011,2,0,0
32,2012,2,8,30
32,2013,3,0,0
32,2014,1,0,0
32,2015,2,0,0
32,2016,1,0,1
32,2018,1,0,1
33,1984,1,1,0
33,1991,2,1,2
33,2013,1,1,0
33,2015,5,15,131
33,2016,10,62,40
33,2017,32,53,45
33,2018,68,115,131
34,1991,7,117,41
34,1992,2,61,19
34,1994,11,134,122
34,1995,75,439,249
34,1996,30,818,124
34,1997,72,329,420
34,1998,12,384,129
34,1999,13,108,63
34,2000,16,76,23
34,2001,37,166,49
